c1,1.997615429
c2,1.899778879
c3,1.853862145
c4,1.932497787
c5,1.827643193
c6,1.975487045
c7,1.982718335
c8,1.92350723
c9,2.024496741
c10,1.946562008
c11,2.09449916
c12,2.050216632
c13,1.828280057
c14,2.060991035
c15,2.063038558
c16,1.883013118
c17,1.92029887
c18,1.905503586
c19,1.975545748
c20,1.873123501
c21,2.09449916
c22,2.063038558
c23,2.078140436
c24,1.97595766
c25,2.142028657
c26,2.063038558
c27,2.018393707
c28,2.087824524
c29,2.015412557
c30,1.951812185
c31,2.033562151
c32,1.958413221
c33,1.96486303
c34,1.771088184
c35,1.802495211
c36,2.150028428
c37,1.867564976
c38,1.773307612
c39,1.972689107
c40,1.798301246
c41,2.004669053
c42,2.023366994
c43,1.953321315
c44,2.150028428
c45,1.966283948
c46,2.035866259
c47,2.14
c48,2.04
c49,2.29
c50,1.73
c51,1.58
c52,1.47
c53,1.52
c54,2.24
c55,2.24
c56,2.16
c57,1.97
c58,2.21
c59,1.67
c60,1.45
c61,1.71
c62,1.9
c63,1.36
c64,1.4
c65,2.06
c66,1.97
c67,2.02
